ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
เ:พ:อ|ร:์|ซ|ิ|เ:ว:ิ|ล|	p:e|r|c|i|v:a|l|
เ:ร|น|น|ิ|เ:ง|อ:ร:์|	r|e:n|n|i|n:g:e|r|
อ:ู|เ:ล|อ:ร:์|	u|h:l:e|r|
เ:ฮ|อ:ร:์|เ:ม|ิ:่|น|ส|ั|น|	h|e:r|m|a|n|s|o|n|
ไ:อ|โ:ซ:เ|ม|อ:ร:ิ|ซ:ึ:ม|	i|s:o|m:e|r:i|s:m|
ร|อ|ส|เ:ซ|อ:ร:์|	r|o|s|s|e:r|
เ:อ:า|ท|์|เ:ว|ต|	o:u|t|h|w:a:i|t:e|
เ:ด|ว|ิ|ต|ต:์|	d|e:w|i|t|t|
เ:ท|ล|เ:ฟ:ิ|ร:์|ด|	t|e:l|f:o|r|d|
แ:บ|ล|า:เ:อ|อ:เ:ร|ิ:ต|	b:a:l|l|a|r:a|t|
ช:า|ร:์|โ:ค|ล|	c:h:a|r|c:o:a|l|
ล|ิ|ง|เ:ก:ิ|ล|	l|i|n|g|l:e|
แ:ม|บ|ร:ี:่|	m|a:b|r:y|
ฮ:ิ|โ:ร|อ:ิ|ก|	h|e:r:o|i|c|
ว|อ|น|,|	v:a|u:g:h|a:n|,|
บ|า|ว|เ:อ|อ:ร:์|	b|o|w|e|r|
เ:ช|น|	c:h:a|i:n|
แ:ฮ|น|เ:ด:ิ|ล|	h|a:n|d:a|l|
จ|ิ|น|น|ี|	g|i|n|n|y|
เ|บ|ง:เ:ก|ว|ล|า|	b|e|n:g|u|e:l|a|
โ:ซ:เ|ก|ิ|ล|	s:o|k|o|l|
โ:อ|เ:ว:อ|ร:์|เ:บ:อ|ร|ี|	o|v:e|r|b:u|r|y|
โ:ด|ป|ป|์:เ:ล|อ:ร:์|	d|o:p|p|l:e|r|
แ:ม|ร:์:ร|ี:่|เ:ม|ิ:่|น|	m:e:r|r|i|m|a|n|
เ:ม|ิ:่:ก|ว:ี:เ|ค|อ:ร:์|	m|c|v:i|c:k|e:r|
ไ:ด:เ|ร|ก|ท|อ|ร|ี|	d:i|r:e|c|t|o|r|y|
เ:ด|น|เ:ช|ิ:น|	d|e:n|s:i:o|n|
ค:ู|ร:ั|น|ต:์|	c:o:u|r|a:n|t|
แ:บ|ล|น|ด:์|ฟ|อ|ร:์|ด|	b|l|a:n|d|f|o|r|d|
บ|ิ|ล|ล|ิ:ง|ส:์|	b|i|l|l|i:n:g|s|
ว|อ|ร:์|น|ี:ย:์|	w|a|r|n|e:y|
เ|ว|ย:์|เ:ล:ิ|น|ด:์|	w|a|y|l:a|n|d|
เ:อ|เ:ล|ิ:่|ม|	e|l|a|m|
เ:ฟ:ิ|ร:์|ท|	f:u|r|t:h|
ค:ั:ม|ม|ิ|น|ส|ก:ี:้|	k:a|m|i|n|s|k:y|
ส|ก|อ|ล|า|ร:์|	s|c:h|o|l|a|r|
อ|อ:ร:์|ก|ม|อ:ร:์|	o|r|g|m:o|r:e|
ด|ั|น|น|ิ:ต|	d|u|n|n|e:t:t|
จ|อ|ร:์|แ:ด|น|	j|o|r|d|a:n|
อ:ี:ไ|ล|ย:์|	e|l|y|
แ:อ|ม|บ|ล|ิ|โ|ก|ไ:น|ต|์|	a|m|b|l|y|g|o|n|i:t|e|
เ:ว:อ|ร:์|ช:ั|น|	v:e|r|s:i:o|n|
ร|ิ|เ:ด|อ:ร:์|	r|i|e:d:e|r|
ค|ี|ซ:่:า|	c:h|i:e|s:a|
แ:ว:ล|เ|ล|ิ:่|น|ส|์|	v:a|l|l|a|n|c|e|
แ:ล|น|ส|์:ฟ|ิ|ล|ด:์|	l|a:n|c:e|f|i:e|l|d|
อ:ิ|น|ท:ี:เ|ร|ี|ย|ร:์|	i|n|t:e|r|i|o|r|
ล|ู|ต|ส:์|	l|u|t:e|s|
ด|ี|ล|ี:ย:์|	d|e:e|l|e:y|
เ:ด|ว:ิ|ด|	d|a:v:i|d|
เ:ก|ฟ|เ:ฟ|น|,|	g|e:f|f|e:n|,|
เ:ฮ|ด|ส:์|	h:e:a|d|s|
ไ:ฟ|ก:์|	f|i:k:e|
อ|อ:ร:์|ด|แ:น|น|ซ|์|	o|r|d|n|a:n|c|e|
ก|๊:อ:บ|ป:ี:้|	c|o|p:y|
บ|ร|ิ|ก|เ:ด:ิ|่:น|	b|r|i|g|d:e|n|
เ:ม:ิ|ก|ย|ู|	m:c|c|u|e|
แ:ฮ:ม|ิ|ต|ิ|ก|	h:a|m:i|t|i|c|
ต|ร|อ|ต|ส|ก|ี|	t|r|o|t|s|k|y|
เ:ม|ซ|ิ|เ:ง|อ:ร:์|	m:e:s|s|i|n:g:e|r|
แ:ม:ต|ช:์|	m:a|t:c:h|
ม|ิ|ด:เ|ย|ี:ย|ร:์|	m|i|d|y:e|a|r|
ม|ิ|น|เ:ท:อ|ร:์|	m|i|n|t:e|r|
ว|ั:ต|ค:ี:่|	w|u:t:t|k:e|
โ:ค:เ|ก|ิ|ต|	k:o|g|u|t|
แ:ล|ท|ุ|เ:ร|ต|	l|a:t|o:u:r|e|t:t:e|
เ:ซ:ฟ|เ:ฟ:อ|ร:์|	s:a|f:e|r|
บ|อ|ย|เ:ด:ิ|ล|	b|o|y:d|e|l:l|
ม|า|ร:์|เ:ว:ิ|่:น|	m|a|r|v:e|n|
ม|ั|ล|เ:ล:ิ|น|	m|u|l|l:e|n|
โ|ซ|ซ|ู|ร:์|,|	s:a:u|s|s|u|r|e:,|
บ:ุ|ล|โ:ด:เ|ซ|อ:ร:์|	b:u:l|l|d:o|z:e|r|
ว|อ|น|ด:้:า|	w|a|n|d:a|
ฟ|ิ|ต:ส:์|ว|ิ|ล|เ:ย|ิ:่:ม|	f|i|t:z|w|i|l|l:i:a|m|
เ:ท|เ:ล:ิ|่:น|	t:h:e|l:e|n|
แ:จ|ว:ิ|ต|ส:์|	j|a:v:i|t|s|
ร|ี|ซ|ี:ต|	r|e|c:e|i:p:t|
ส|ค|ร:ั:บ|เ|บ|อ:ร:์|	s|c|r:u|b|b:e|r|
อ:ิ|น|ท|ร|า|ค|ล|า|ส|ต:์|	i|n|t|r|a|c|l|a|s|t|
เ:พ|ี:ย|ร|ซ|์|	p|e|a:r|c|e|
เ:อ|เ:อ|เ:อ:ฟ|	a|a|f|
เ:ซ:อ|ร:์|ท|ี|ส|	s:u|r|t|e:e|s|
ว|อ|เ:ต:อ|ร:์|เ:ล:ิ|่:น|ด:์|	w|a|t:e|r|l:a|n|d|
โ:ม|เ:ซ:อ|เ:ล:อ|ร:์|	m:o:s|e|l:e|r|
ช|า:ห:์|	s:h|a:h|
แ:อ:็|ก|เ:ค:อ|ร:์|เ:ม|ิ:น|	a|c|k:e|r|m:a:n|n|
น|อ|ร:์|แ:ม|น|	n|o|r|m|a:n|
โ:ค|ร|ู|น|า|	k|o:r|u|n|a|
แ|ว|ร:ี:เ|อ|ิ:น|	v|a|r:i|a|n|
ม|อ:ร:์|เ:ฮ:า|ส:์|	m:o|r:e|h:o|u:s:e|
เ:ม:ิ|ก|น|ี|ล:ี:่|	m|c|n|e:e|l:y|
เ:ม:เ|ร|ด|ิ|ท|	m:e|r|e:d|i|t:h|
ไ:ร|ก|ิ|	r:e:i|k|i|
ไ:ท|เ:ล|อ:ร:์|	t:h:e|i:l:e|r|
ค|ว|ี|ซ|ี:น|	c|u|i|s|i:n:e|
ม:็:อ|ก:เ:ซ|ิ:่|ม|	m:o|x:h|a|m|
แ:ค:เ|ม|ร|อ|น|	c:a|m:e|r|o|n|
แ:อ:ท|โ:บ|ร|ซ|ี|โ:อ:้|	a:m|b|r:o|s|i|o|
ส|ล:ี:เ|ด|ิ|ล|	s|l:i|d|e|l:l|
น|ิ|บ|ล|ิ:ต|	n|i|b|l|e:t:t|
เ:ค|ล|ี|เ:ฮ|อ:ร:์|	k|e:l|e|h|e:r|
โ:ฮ|ล|ส:์|เ:ม:ิ|น|	h|o:l|z|m:a|n|
เ:ว|ส|ต:์|,|	w|e:s|t|,|
ก|า|เ:ฟ|อ:ี|น|	c|a|f:f:e|i|n|
อ:อ|ฟ|เ:ซ|ต|	o|f:f|s|e:t|
แ:ค:เ|น|อ|ด:ี:้|	k:a|n|a|d:y|
ว|อ|ล|เ:ด|ิ:้:น|	w|a|l|d|o:n|
ด|ร|ั|ม|ล|ิ|น|	d|r|u|m|l|i|n|
ร|อ|	r|a:u:h|
เ:อ|ก:โ:ซ|ส:เ|ฟ:ี|ย:ร:์|	e|x:o|s|p:h:e|r:e|
เ:ว|ส|ต:์|เ:ล|ก|	w|e:s|t|l|a:k:e|
พ|ั:ฟ|	p|u:f:f|
เ:ว|เ:บ|อ:ร:์|	w|e:b:e|r|
แ:ก|ร:์:เ|ร:ี|ย|ต|ต:์|	g:a:r|r|i|o|t|t|
อ:ิ|ร|ิ|ก|	e|r|i|c|
ร|ิ|ฟ|ค|ิ:้:น|	r|i|f|k|i:n|
ไ:ล|เ:ด|น|	l:e:i|d|e:n|
โ:ย:เ|ซ|ฟ|	j:o|s|e:f|
อ:า|ร:์|ม|ส|ต|ร|อ|ง|,|	a|r|m|s|t|r|o|n:g|,|
ย:ู|ส|	u|s:e|
ก|ิ|ก|ก:็:อ|น|ต|ส:์|	g|i|g|a|n|t:e|s|
เ:ฮ|ฟ|เ:ฟ|ร|ิ:น|	h|e:f|f|r:o|n|
ซ|ิ|ส|	z:e|i|s|
ม|ั|ล|	m|u|l:l|
ซ|อ|น|แ:ด:็|ก|	z|o|n|d:a|g|
เ:ช|ง|เ:ค:อ|ร:์|	s:h:e|n|k:e|r|
เ:พ|ล|ส|	p|l:e|a:s:s|
ไ:บ|ล|ต:์|	b|l:i|g:h:t|
แ:ม|ก:อ|า:ร:์|เ:ท|อ:ร:์|	m:a:c|a|r|t:h:u|r|
ก|ร|ุ|๊:ป|แ|ว|ร|์|	g|r:o|u|p|w|a|r|e|
ก:ู|ล|ส:์|บ:ี:้|	g:o:o|l|s|b:y|
ซ|ู|ร:า|โ|ซ|	s|u|r|a|z:o|
ส|เ:ต:อ|ร:์|ต|า|เ:ว:ิ|น|ต:์|	s|t:u|r|t|e|v:a|n|t|
ส|โ:ก:เ|ป|ี|ย|	s|k:o|p|j|e|
ด|ม|ิ|ต:ท|ร:ี:่|	d|m|i|t|r:y|
ย:ู|เ:อ:ฟ|โ:อ|	u|.:f|.:o:.|
โ:ฮ|ล|เ|ช|อ:ร:์|	h:o:e|l|s|c:h:e|r|
บ|ล|ั|ม|เ:บ:ิ|ร:์|ก|	b|l|u|m|b:e|r|g|
โ|ร|ด|ี|โ:น:่|	r|o|d|i|n:o|
โ:บ|ด|ร:ี:้|	b:e:a|u:d|r:y|
ว:อ:เ|น|ล|	o|n:e|l:l|
ช:า|ม|ั|ว|ส:์|	c:h:a|m|o|i|s|
เ:อ|ร:ิ|ต|	e|h:r:e|t|
ด|ั|ง:ก:์|	d|u|n:k|
เ:ร|ต|	r|a:t:e|
ซ|ู|ซ|า|น|	s|u|s|a|n|
ค|ล|ี|เ:บ:ิ|ร:์|น|	c|l|i|b:u|r|n|
ส:แ:ก|น|	s:c|a:n|
เ:ม:อ|ร:์|ต|ั|น|,|	m:e|r|t|o|n|,|
บ|า|บ|า|ร:์|	b|a|b|a|r|
อ:อ|เ:พ:อ|เ:ร:เ|ต|อ|ร:์|	o|p:e|r:a|t|o|r|
ท|อ|ร|์|	t:h|o|r|e|
เ:ฟ|ร|ส|เ:น|ล|	f|r|e:s|n|e:l|
โ:อ:เ|บ|ร|ี:ย|น|	o:'|b|r|i|e:n|
ท|ิ|ล:ล|ี:่|	t|i|l:l:i|e|
แ:พ|ล|ก|	p|l:a|q:u:e|
ท|า|ว|น:์|เ:ฮ:า|ส:์|	t|o|w|n|h:o|u:s:e|
ฮ|อ|เ:ร|ิ:่|น|	h|o|r|a|n|
แ:ค:็|ป|เ:ร:ิ|น|	c:a|p|r:o|n|
ว:ุ|ล|ส|ั|น|	w:o:o|l|s|o|n|
เ:ล|น|ต:์|	l|e:n|t|
แ:ม|ด|ร|ิ|ก|ั|ล|	m|a:d|r|i|g|a|l|
ไ:ซ|โ|ท|โ|ค|ร|ม|	c|y|t|o|c:h|r:o|m:e|
บ|า|ล:์|ม|	b|a|l|m:e|
เ:ร|ด|ด|ึ|ส|	r|e:d|d|e|s|
โ:ฮ|ล|ด:์|ส|เ:ว:ิ|ร:์|ท|	h|o:l|d|s|w:o|r|t:h|
เ:ฮ|อ:ร:์|แ|ล|น|ด:์|ส|	h|e|r|l|a:n|d|s|
เ:น|ม|	n|a:m:e|
ว:ิ|ต|ส|ั|น|	w:h:i|t|s|o|n|
ม|ิ|ด:เ|ว|ย:์|	m|i|d|w:a|y|
ล|ุ|ด|ว|ิ|ก|	l|u|d|w|i|l:k|
แ:ก|น|เ:น|ิ:่:น|	g|a:n|n|o:n|
ไ:ว|ต:์|ส|เ:ม|ิ:่|น|	w:e:i|t|z|m|a|n|
เ|ช|ง|เ:ค:ิ|น|เ:บ:ิ|ร:์|ก|	s|c:h:e|n|k:e|n|b:e|r|g|
ค|อ|น|เ:ว:ิ|ร:์|ส|	c|o|n|v:e|r|s:e|
ด:็:อ|ต|ต:์|	d:o|t|t|
แ:ม:เ|ร|ี:ย|น|	m:a|r|i|o:n|
ฮ|อ|เ:ค:ิ|น|ส|ั|น|	h|o|k:a|n|s|o|n|
ม:็:อ|ต|ล|ี:่|	m:o|t|l:e|y|
ว|ุ|ล|ค|า|โ|น|	v|u|l|c|a|n|o|
ม|อ|ร|า|โ:น:่|	m|o|r|a|n:o|
ฮ|า|เ:ด|ี:ย|น|	h|a|d|e|a:n|
ส|ต|๊:อ|ก|เ:ด|ล|	s|t|o|c:k|d|a:l:e|
เ:ก|ล|ด|ส:์|	g|l|a:d:e|s|
อ|อ:ร:์|โ:ท|โ:ท|ล|ิ|ด|ิ|น|	o|r|t:h:o|t|o:l|i|d|i|n:e|
ฟ|ิ|น|ิ|แ:ก|น|	f|i|n|e|g|a:n|
ค|อ|ม|ม|า|น|ด:์|	c|o|m|m|a|n|d|
พ|ล:ู:เ|ท|ี:ย:ส|	p|l:u|t:e|u:s|
ว|อ|ร:์|ร|ี|	w|o|r|r|y|
เ|บ|น|น|ิ|ส|ั|น|	b|e|n|n|i|s|o|n|
อ:า|ว:เ:ว|อ:ร:์|	o|w:e|r|
ก|อ|ร:์|ส|	g|o|r|e:s|
ฮ:็:อ|ป|	h:o|p:p:e|
แ:ม|โ|ค|ร|โ:ม:เ|ล|ก|ุ:ล|	m|a|c|r:o|m:o|l:e|c|u:l:e|
เ:ม:ิ|ก|ค|อ|ร:์|ม|ิ:ก|	m|c|c|o|r|m|i:c:k|
แ:ม|น:เ:ด|ิ:ร:์|ส|	m:a:n|d:e|r|s|
โ|ก|ด|ั|ล|ฟ:ิ|น|	g|o|d|o|l|p:h:i|n|
แ:ท|ม:เ:ม|อ:น|ี:่|	t:a:m|m:a|n|y|
เ:ม|ท|ิ|ล|แ:อ|ล|ก|อ|ฮ|อ|ล:์|	m|e:t:h|y|l|a|l|c|o|h|o|l|
เ:ค|า:ว:์|เ:อ:ิ|ร:์|ด|	c|o:w|a|r|d|
ไ:ร|โ:ม|ล|ด:์|	r:e:i|m|o:l|d|
บ|ล|ั|ง|ค|ิ:ต|	b|l|u|n|k|e:t:t|
ฟ|อ|ร:์|เ:ว:ิ|ร:์|ด|	f|o|r|w:a|r|d|
อ:า|ร|า|ป|า|	a|r|a|p|a|
บ|ิ|ก|เ:ก:ิ|ล|	b|i|c|k:e|l|
เ:ม:ิ|่|ก:แ:ม|น|	m:a|c|m:a|h:o:n|
ไ:ล|เ:ด|ล|	l|i:d:e|l|
เ:ฮ:เ|ซ|ิ:ล|ว|ู:ด|	h:a|z|l|e:w|o:o:d|
แ:อ:็|ป|ป|ล:ิ:่|ง|	a|p|p|l:i|n:g|
ส|ป|ิ|ช:ี|	s|p|e|c:i:e|
โ:จ|น|่:า|ห:์|	j|o:n|a|h|
แ:ฮ|ล|พ|ิ:้:น|	h|a:l|p|i:n|
ส:เ|ต|ป|น:ี:่|ย:์|	s|t:e|p|n:e|y|
โ:ต|ป|ิ|ก|า|	t|o:p|e|k|a|
ป|า|ท|า|น|	p|a|t:h|a|n|
บ|ล|อ|ม|ิ:น|เ:ฟ|ล|ด:์|	b|l|u|m:e|n|f|e:l|d|
แ:ร:็|ป|พ|อ|ร:์|ต|	r:a|p|p|o|r|t|
แ:อ:็|ก|ล|ิ|น|	a|c:k|l|i|n|
ค:ั:ส|ซ|า|โ|น|ว|า|,|	c:a|s|s|a|n:o|v|a|,|
อ:ั:ล|แ:บ|ร:์|โ|ต|	a:l|b|e|r|t:o|
บ:ั:ก|เ:ค|ิ:น|	b:u|c:h:e|n|
ท|ิ|เ|บ|ต|	t|i|b|e|t|
อ:ี|เ:ม|อ|เ:จ:ิ|น|	i|m|o|g:e|n|
แ:ว|น|เ:ด:อ|ร|์:เ:ว|ี:ย|ร:์|	v|a:n|d:e|r|v:e|e|r|
โ:ค|ร|ว:์|เ|บ|อ:ร:์|ร:ี:่|	c|r:o|w|b|e|r|r:y|
ว:ี|น|	w:i:e|n|
อ:า|ร:์|ม|เ:บ|ร|ิ|ส|เ:ต:อ|ร:์|	a|r|m|b|r|u|s|t:e|r|
เ:ร|ม|เ:ป:ิ|้|ล|	r|e:m|p|e|l|
โ:อ:เ|ม|ก|า|	o|m:e|g|a|
ซ|ั:ม:เ|ม|อ:ร:์|เ:ฟ:ิ|ร:์|ด|	s|u:m|m:e|r|f:o|r|d|
เ:อ|โ:ว:ล|ู|ช:ั|น|	e|v:o|l:u|t:i:o|n|
เ:ร|ด|เ:ฟ:ิ|ร:์|ด|	r|e:d|f:o|r|d|
เ:ว:อ|ร:์|จ:ิ:เ|น|ี|ย|	v:i|r|g:i|n|i|a|
ซ|ิ|ซ|ิ|เ:ล|ี:ย|น|	s|i|c|i|l|i|a:n|
เ:ค|ว:ี|น|ิ:ส|	c|a:v:i|n|e:s:s|
ป|ั:ว|ซ:ง|	p|o:i:s|s:o:n|
แ:ก|ส|ก:์|	g|a:s|k|
แ:ท|น:ท|า|ล|ั|ม|	t:a:n|t|a|l|u|m|
ฟ|ร|ี|แ|ม|น|เ:ท:ิ|ล|	f|r|e|e|m|a:n|t|l:e|
ส:เ:ต|ซ|ี:ย:์|	s:t|a:c|e:y|
ว|ิ|น|ฟ|ิ|ล|ด:์|	w|i|n|f|i:e|l|d|
ฮ|ิ|ล|เ:ต:ิ|น|	h|i|l|t|o:n|
ค|ล|ั|ต|เ:ต:อ|ร:์:เ|บ|ิ:่:ก|	c|l|u|t|t:e|r|b:u|c:k|
ล|อ|ง|ก:ู|๊:ด|	l|o|n:g|g:o:o|d|
ม|ั|น|ต:์|ส|	m|u|n|t|z|
ไ:ฮ|ต|ี|	h:a:i|t|i|
ฮ|อ|ร:์|น|โ:บ|ล|เ:อ|อ:ร:์|	h|o|r|n|b:l:o|w|e|r|
เ:ร|แ|ก|น|	r|e|a:g|a:n|
เ:ก|ิ|ม|บ|ั:ง|	k|o|e:m|b|a:n:g|
ซ|ิ|ล|ิ|เ|ก|ต|	s|i|l|i|c|a|t:e:s|
เ:ช|ร|ิ|ล|	c:h:e|r|y|l|
เ:บ:อ|ร:์|ก|ิ|ส|	b:u|r|g|i|s|
เ:ฮ|เ:ม:เ|ค|อ:ร:์|	h:a:y|m:a|k|e:r|
เ:ก|อ|ร:ี|ป:ี:้|	g|a|r:i:e|p:y|
ฟ|ิ|น|เ:น:ิ|ล|	f|i|n|n:e|l:l|
พ:อ|ล|ด:ิ:่|ง|	p:a:u|l|d:i|n:g|
แ:บ|ส|โ:ซ|	b|a:s:s|o|
อ:ะ|ซ|ิ|เ:ซ|ี|ย|	a|z|i|z|i|a|
เ:ร:เ|ช|ล|	r:a|c:h:e|l|
แ:ช|ล|ล|อ|ต|	s:h:a|l|l|o|t|
ม|ั|ล|เ:ต|ิ:้:น|	m|u|l|t|o:n|
ท|ร|ั:ก|	t|r|u:c:k|
ร|อ:เ|ด|ร|ิ:ก|	r|o|d:e|r|i:c:k|
ร:ี|โ|ก|ล|ิ|ท|	r|e|g|o:l|i|t:h|
เ:บ|ร|ด|	b|r:a:i|d|
เ:อ|ด|ั|ล|ส|ไ:ต|น:์|	e|d|e|l|s|t:e:i|n|
ว:ู|ด|ึ|ส|	w:o:o|d|e|s|
เ:ด|ท|บ|า|ร:์|ต|	d|e:m|b|a|r|t|
ฟ|ุ|ก|ส:์|	f|u|c:h|s|
ไ:ร|ต:์|เ:ซ:ิ|ล|	r:e:i|t|z:e|l|
ส|ต|ี|เ:ฟ|น|	s|t|e|p:h:e|n|
ก:ู|ร:์|เ|บ|,|	c:o:u|r|b|e|t:,|
ฟ|อ|ส|ท:อ:เ|ร|ี:ย|	f|o|s|t:o|r:i|a|
ไ:ฮ|ร:์|ส|เ:ต:ิ|น|	h:a:i|r|s|t|o:n|
แ:อ:ล|เ:อ:ฟ|แ:อ:ล|	l|f|l|
ค|ร|อ|ฟ|ต|ส:์|	c|r|o|f|t|s|
ย:ี|ร|ิ:ก|	y:e:a|r|i:c:k|
อ|อ:ร:์|ก:า|โ|น|ฟ:ิ|ล|ิ|ค|	o|r|g|a|n:o|p:h:y|l:l|i|c|
ค|ุ|ท|ท|า|	k|u|t|t|a|
ก|า|ร:์|ฟ|ี|ล|ด:์|,|	g|a|r|f|i:e|l|d|,|
เ:น|เ:ธ|อ:ร|์:แ:ล|น|ด:์|	์:n:e|t:h:e|r|l:a|n:d|s|
บ:ู|เ:ม:อ|แ|ร|ง|	b:o:o|m|e|r:a|n:g|
เ:อ|อ:ร:์|ซ|ู|ล|า|	u|r|s|u|l|a|
ส|โ|ล|ว|ี:น|	s|l|o|v|e:n:e|
แ:ล|น|ต:ิ:้|ง|	l|a:n|t:i|n:g|
โ:ค|เ:ก:ิ|ล|	k:o:e|g:e|l|
เ:อ|เ:ก:อ|ร:์|เ:ต|ิ:้:น|	e|g:e|r|t|o:n|
เ:ม|้|า|ท|์|ท|ู|เ|ม|้|า|ท|์|	m|o|u|t:h|-|t|o|-|m|o|u|t|h|
เ:อ|ส|ต|ร|า|ด|า|	e|s|t|r|a|d|a|
แ:ช|ม|บ|ล|ิ|น|	c:h:a|m|b|l|i|n|
ช:ั|น|ต:์|	s:h:u|n|t|
ม|อ:โ:น|ค|ล|ิ|น|ิ|ก|	m:o|n:o|c|l|i|n|i|c|
อ:ิ|น|ส|ต|ร:ู:เ|ม|น|ต:์|	i|n|s|t|r:u|m:e|n|t|
ล|ิ|ก|ฟ|ิ|ล|ด:์|	l|i|t:c:h|f|i:e|l|d|
ว|า|ไ:ร|ต:ี|	v|a:r|i|e:t:y|
ไ:ก|เ:ต|ิ:้:น|	g:u:y|t|o:n|
เ:บ|ล|น|	b|l:a|n:e|
เ:ม:เ|ร|ี:ย|น|เ:ท|ิ:ล|	m:a|r|i|e:n|t:h:a|l|
โ|ร|บ|	r|o|b:e|
บ|ร|า|ว|อ|ย|ต|์|	b|r|a|v|o|i|t|e|
โ:น:้|ต|	n:o|t:e|
เ:ก:เ|ล|ิ:่:น|	g:a|l:e|n|
ไ:บ|โ|อ|ม:ิ|ไ|ค|ร|ต|์|	b|i|o|m|i|c|r|i:t|e|
อ:ี:เ|ด|ไ:น|ต|์|	e|d:e|n|i:t|e|
เ:ม:ิ|ก|เ:ฟ|อ:ร:์|ส|ั|น|	m|c|p:h:e|r|s|o|n|
เ:อ|ร:์|แ:ล:เ|ง|อ:ร:์|	e|r|l:a|n:g|e:r|
เ|บ|น|เ:ฟ:ิ|ร:์|ด|	b|e|n|f:o|r|d|
ส|ค|อ|น|ส|์|	s|c|o|n|c|e|
ค|ล|ั|ต|เ:ต|ิ:้:น|	c|l|u|t|t|o:n|
แ:ช|น|ด:์|ส|	s:h:a|n|d|s|
ไ:ร|น|ิ|ช|	r:e:i|n|i|s:c:h|
ไ:ว|ส|์|	w:e:i|s|s|
ว|ิ|ท|โ:ร|	w|i|t:h|r:o:w|
ค|า|ม|ิ:ล|โ:ล|	c|a|m|i|l:l:o|
เ:ฟ|ต|ต|ู|ช|ี|น|ี|	f|e:t|t|u|c|i|n|i|
แ:ล:ช|เ:ช|อ:ร:์|	l:a|s:h:e|r|
ล|ี|เ:บ|อ|ว|ิ|ต:ส:์|	l|i:e|b|o|w|i|t:z|
ม:ั:ต|เ:ท|ร:่:า|	m:a|t:t:e|r:a|
โ:อ|ก:ั:ล|ล|า|ล|า|	o|g:a|l:l|a|l|a|
แ:ท|ม:า|ร|ี|น|ด:์|	t:a:m|a|r|i|n|d|
แ:บ|ร:์:น|ู|ล|ล|ี|,|	b:e:r|n|o:u|l|l|i|,|
บ:ิ|ว|ล|ี:ย:์|	b|e:w|l|e:y|
เ:ว:อ|ร:์|จ|ิ|ล|	v:i|r|g|i|l|
เ:อ|เ:ว:อ|ล|ิ|น|	e|v:e|l|i|n:e|
ม|อ:ร:์|	m:o|r:e|
ฮ:า:ว|ว|ิ:ก|	h:o|w|i:c:k|
บ|อ|ร|ิ|ก|	b|o|r|e|k|
บ|ู|อ:ี:่|	b|u|i:e|
แ:พ|ต|ี|โ:น|ด|	p|a:t|e|n:a:u|d:e|
จ|ิ|ว|เ:อ|ล|ร|ี|	j|e|w|e|l|r|y|
ป|ร:ู|ส|ต:์|,|	p|r:o:u|s|t|,|
เ:ฟ:อ|ร:์|น|ิ|ส|	f:u|r|n|i|s:s|
น|ี|ด:ด|ี:้|	n|e:e|d|y|
แ:อ|น:โ|ท|น|ี|	a|n|t|o:n|y|
ด|ี|บ|ิ:ส|	d|e|b:u|s|
ฮ|า|ว|า:ย|	h|a|w|a:i:i|
แ:ฟ|ร|ล|ี:ย:์|	f:a:i|r|l|e:y|
อ:ิ|น|ไ:ร|ต|์|	e|n|r|i:g:h|t|
เ:ม:ิ|ก|แ:ค|ร|ร:ี:่|	m|c|c|r:a|r:y|
ส|ก|ี|ม|า|	s|c:h|e|m|a|
ส|ป|ี|ว|ี:ย:์|	s|p|i|v|e:y|
น:ิ:ว|ค|ล|ี:โ:อ|ไ:ฟ|ล|์|	n:u|c|l|e:o|p:h:i|l|e|
เ:ฮ:็|ป|เ:ว:ิ|ร:์|ท|	h:e|p|w:o|r|t:h|
เ:ว|ต|	w:a:i|t:t|
โ:บ|ด|ี|้|	b|o:d|i|e|
ม|า|ร:์|ช|า|	m|a|r|s:h|a|
เ:บ|ร|ด|ิ:้:น|	b|r|e:d|i:n|
เ:ซ|น|ี:ส|	s|e:n|e:s:e|
แ:ค|ส:เ|ซ:ี:ย|	c:a:s|s|i:a|
แ:อ|น|น:์|	a|n|n|
ฟ|า|ร:์|เ:น:ิ|ล|	f|a|r|n:e|l:l|
ล|อ|ร:์|น|า|	l|o|r|n|a|
เ:ช|ร|ี:่|	c|e:r|y|
แ:ม:น|เ|ล|ย:์|	m:a|n|l:e|y|
ซ|บ|ิ|๊:ก|น|ู|	z|b|i|g|n:i|e:w|
ล|ิ|ว|ค:ี:เ|ม|ี|ย|	l|e|u|k:e|m|i|a|
ร:ี|เ:ซ:ิ|่:น|	r:i:e|s:e|n|
ด|ิ|ก:เ:ก|น|ส:์|,|	d|i|c:k|e:n|s|,|
บ|อ|ล|ด|ร:ี:่|	b|a|l|d|r:y|
บ|ิ|ส|ก:ิ|ต|	b|i|s|c:u:i|t|
ไ:ฮ|ด|ร|อ|ก:ไ:ซ|ด|์|	h|y:d|r|o|x:i|d|e|
แ:อ|น|เ:ด:ิ|ล|เ:ม|ิ:่|น|	a|n|d:e|l|m|a|n|
