ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ק|א|ל|ו|	k|a|l|o:u|
מ|א|מ|ו|ר|ו|	m|a|m|o|r|u|
ק|י|ר|א|ל|א|	k|e|r|a|l|a|
ט|נ|ז|א|נ|י|א|	t:a|n|z|a|n|i|a|
ל|י|ס|י|נ|ג|	l|e|s:s|i|n|g|
ט|ו|ר|י|	t|o|r|i|
ב|י|ר|ט|ו|נ|י|	b|e|r|t|o|n|i|
ק|ו|ב|א|ל|י|ו|ב|	k|o|v|a|l|y|o|v|
מ|א|ס:י|ג:'|	m|a|c:i:e|j|
א|מ|פ|י|ר|י|א|	i|m|p|e|r|i|a|
פ|ל|ו|ר|י|א|ן|	f|l|o|r|i|a|n|
מ|ב|ר|ו|ק|	m:a|b|r|o:u|k|
ס|פ|י|ר|	s|p|e|e:r|
ק|ו|א|ן|	k|u|a|n|
ש|מ|י|ט|	s:c:h|m|i|t:t|
ג|א|ב|ר|	g|a|b|e:r|
מ|ו|נ|ט|א|ג|י|ו|	m|o|n|t|a|g|u|e|
א|ב|ר|א|ג:'|	a|b|r|a|j|
ג|ל|י|ס|ו|ן|	g|l:e|e|s|o|n|
מ|א|ר|ג|ר|י|ט|	m|a|r|g|a:r|e|t|
ש|ו|פ|א|ן|	c:h|o|p|i|n|
ר:ו|נ|י|	r:o:o|n:e|y|
ס|א|מ|ב|ו|ר|א|	s|a|m|b|o|r|a|
ט|ו|ר|י|ו|	t:h:e|u|r|i|a:u|
מ|א|ט|י|	m|a|t|e|
ג:י|ס|ק|א|ר|ד|	g:u:i|s|c|a|r|d|
מ|א|ט|י|	m|a|t|i|
מ|ג:':א|ל|ב|י|	m|j:a|l:l|b|y|
ה|נ|ר|י|ק|ה|	h:e|n|r|i|q:u|e|
צ:'|י:ל|ד|י|ר|י|ק|	c:h:i|l|d|e|r|i|c|
צ:':י|פ|ו|ל|י|נ|י|	c:i|p|o|l:l|i|n|i|
י|נ|א|י|	y:a|n|a|i|
ס|ל|א|ם|	s:a|l|a|m|
צ:'|א|ר|ו|ד|י|ן|	c:h:a|e|r|u|d:d|i|n|
ק|ו|ב|ו|ש:י|	k|o|b|u|s:h:i|
ג:':א|ה|י|ן|	j:a|h|i|n|
ס|י|ר:א|	s|e|r:r:a|
ר|י|ד|ג|'|ו|ו:ל|	r|i|d|g|e|w|e:l:l|
מ|ו|ר|ג|נ|ס|ט|י|ר|ן|	m|o|r|g:e|n|s|t|e|r|n|
ח|א|ד|ר|	k:h|a|d|e:r|
ש:י|ג|י|ו|ש:י|	s:h:i|g:e|y|o|s:h:i|
ל|א|ט|י|נ|ז|	l|a|t|i|n|s|
ס|י|ל|ד|ר|א|י|ר|ס|	s|e|e:l|d|r|a|y|e:r|s|
נ|א|פ|ו|ל|י|ט|א|נ|ו|	n|a|p|o|l|i|t|a|n|o|
ד|י|ן|	d|i|e:n|
ג:':ו|ל|י|א|ט|	j:u|l|i|e|t:t:e|
ט|א:י|ב|י|ר|י|א|ס|	t|i|b|e|r|i|a|s|
ג:':ו|א|ק|י|ן|	j:o|a|q:u|i|n|
ל|י|נ|ד|ר|	l|i|n|d|e:r|
ק|ל|ק|י|ל|י|ה|	q|a:l|q|i|l|y:a|h|
ט|א|י|פ|י|י|	t|a|i|p|e|i|
ר|ו|ס|ט|א|ב|י|	r|u|s|t|a|v|i|
מ|ו|נ|ט|מ|א|ר|ט|ר|	m|o|n|t|m|a|r|t|r:e|
מ|י|נ|י:ו|נ:א|	m|i:g|n|o|g:n:a|
ס|א|ר|א|י|ו:ט|	s|a|r|a|y|o:o:t|
ס|א:י|ד|ו|ר|נ:י|ק|ו|	s|i|d|o|r:e|n|k|o|
ב:ו|ל|א|ח|ר|ו|ז|	b:o:u|l|a|h|r|o:u|z|
ק|נ|ג:':י|	k:e|n|j:i|
א:י:ב|א|	e:v|a|
א:י|מ|ז|	e|a:m:e|s|
מ|ו|ס|	m|o|s:s|
ש:י|ר|ו|	s:h:i|r|o|
ה|א|ר:י|ס|ו|ן|	h|a|r:r:i|s|o|n|
נ|ו|ה:י:י|ר|	n|o|h:a|i:r|
ב|ט|י|ר|	b:a|t:t|i|r|
ז|ו|ב|י|ז|א|ר:י|ט|א|	z|u|b|i|z|a|r:r:e|t|a|
ק|א|ס|ט|ו|נ|י|ר|	c|a|s|t|o|n|i|e:r|
פ|ל|א|מ|י|נ|י|	f|l|a|m|i|n|i|
ד|ק|י|ו|ס|	d:e|c|i|u|s|
א|ז|א|ר|י|נ|ק|א|	a|z|a|r|e|n|k|a|
ע:ו|מ|ר|	o|m:a|a:r|
מ|א|ר|ל|ו|ן|	m|a|r|l|o|n|
מ|ו|נ|ס|ף|	m|o|n|s|e:f|
נ|ו|	n|o:u|
ג:':ו|ל|	j:o|e:l|
ב|א|נ|ד|י|ר|א|	b|a|n|d:e|i|r|a|
מ|י|ל|א:נ|י:ט:ש|	m|i|l|j:a:n|i:c|
ח|א|פ|ז|	h|a|f|i:z|
נ|י|ס|ר|	n|i|s|r|
ט|י:י|ר:י|	t|h:i:e|r:r:y|
י|א|מ|א|ג|ו|צ:'|י|	y|a|m|a|g|u|c|h:i|
ט|ר|ו|ת|	t|r|u|t:h|
ס|י|ס|ל|י|	s|i|s|l:e|y|
פ|א|ו|ז|י|נ|י|	p|a|u|s|i|n|i|
א|ק|ו|א|ד|ו|ר|	e|c|u|a|d|o|r|
ט|א|ו|ב|	t|a|u|b|
ק|ר|י|פ|ן|	c|r|i|p:p|e:n|
פ|ו|פ|	p|o|p:e|
א:י|ר|ה|א|ר|ט|	e|a:r|h|a|r|t|
ט|ו|נ|י|ט|ו|	t|o|n|e|t:t|o|
ר|ו|מ|ר|	r|u|m:e|r|
ק|א|ו|ז|י|ו|	c|a|u|s|i|o|
פ|ו|ר|ט|ו|נ|ו|	f|o|r|t|u|n|o|
א|ס|ק:י|	a|s|c:i:i|
ל|א|ר|ש|ה|	l|a|r|c:h|e:r|
ת|י|ו|ד|ו|ר|י|ק|	t:h|e|o|d|o|r|i|c|
ס|נ|ד|ה|י|ל|	s:e|n|d|h|i|l|
ס|ל|י|ם|	s:a|l:e|e|m|
ל|י|נ|ד|ל|ו|ף|	l|i|n|d:e|l|o|f|
ק|א|נ|ט|י|	k|a|n|t|e|
ז|א|ק|ו|א|נ|י|	z|a|k|u|a|n|i|
י|ע|ק|ו|ב|	y:a|a|k|o|v|
ש|ר|י|ת|	s:a|r|i|t|
ק|ל|א|ן|	k|l|a|n|
ל|י|ג|י|א|	l|e|g|i|a|
פ|א|ר|א|ס|י|ט|א|מ|ו|ל|	p|a|r|a|c|e|t|a|m|o|l|
ק|י|ס|א|ר|י|ב|	k|e|s|a|r|e|v|
ר|א|ז|	r|a|z|
פ|ו|נ|ט|א|נ|א|	f|o|n|t|a|n|a|
ל:ו|ס|	l:o:o|s|
ז|י|ל|	z|e|l:l|
ל|ו|ס|י|ל|	l|u|c|i|l:l:e|
מ|י|ה|א|י|ל|	m|i|h|a|i|l|
ל|י|נ|ז|	l|e|n|z|
ט|א|י|מ|ו|ר|א|ז|	t|e|i|m|u|r|a|z|
נ|י|ש:י|ק|ו|ר|י|	n|i|s:h:i|k|o|r|i|
מ|ו|נ|ק:י|	m|o|n|g:k:e|
ד|ו|ק|ו|מ:ו|ן|	d|u|c|o|m:m:u|n|
ר|א:י|ד|י:ל|	r|y|e:d|a:l:e|
נ:א|מ|ד|י|	n:n:a|m|d|i|
ג|ו|ד|י|ל|י|	g|u|d|e|l|j|
ע:א|ר|ף|	a|r:e|f|
ה|י|ר|נ|א|ן|	h|e|r|n|a|n|
ל|י|ב|ר|ט|א|ד|ו|ר|י|ס|	l|i|b|e:r|t|a|d|o|r|e|s|
מ|ו|נ|א|ר|ו|ן|	m|u|n|a|r|o|n|
ק|א|מ|פ|ף|	k|a|m|p|f|
ג|י|ר|א|ל|ד|ו|	g|i|r|a|l|d|o|
ק|י|ר|י|ל|	k|i|r|i|l|
ר|פ|א|ל|	r:a|p:h|a|e:l|
א|ל|ן|	a|l:l:e|n|
ב|א|ר:א|נ|ק|ו|ס|	b|a|r:r:a|n|c|o|s|
מ|ו|ד|נ|ה|	m|o|d:e|n|a|
ב|ו|ד|ר|ו|ם|	b|o|d|r|u|m|
ר|י|מ|ב|ו|	r|i|m|b|a:u:d|
ר|י|ב|י|י|ר|ו|	r|i|b|e|i|r|o|
מ|א:י|ק|ר|ו|ס|ו|פ|ט|	m|i|c|r|o|s|o|f|t|
מ|א|ס|ל:ו|	m|a|s|l:o:w|
ק|ו|ס|י|י|	q|u|s|a|y|
צ:':י|מ|א|ב|ו|	c:i|m|a|b|u:e|
ג|א|ג|א|ר|י|ן|	g|a|g|a|r|i|n|
ס|א|ק|י|צ:'|י|	s|a|k|i|c|h:i|
ע:ב|ו|ד|	a:b:b|o:u|d|
פ|ו|ס|ט|ר|	f|o|s|t|e:r|
מ|ו|ר|א|ו|ס|ק|י|	m|u|r|a|w|s|k|i|
ח|א|פ|ז|	h|a|f:e|z|
ס|י|ד|נ|י|	s|y|d|n:e|y|
ג|י|ש|	g|i|s:h|
ג:'|ע|פ|ר|י|	j|a|a:f|a:r|i|
ח:ו|א:י|ל:ד|	k:h:u|w:a:y|l:i:d|
ר|ו|מ|א|נ|ו|	r|o|m|a|n|o|
נ|א|ג|י|	n|a|g|i|
א|ק:א|ד|י|מ|י|ה|	a|c:c:a|d|e|m|i|a|
ג|נ:א|ר|ו|	g:e|n:n:a|r|o|
ש|ל|ו|ס|ב|ר|ג|	s:c:h|l|o|s:s|b|e:r|g|
ש:י|מ|ו|מ|ו|ר|א|	s:h:i|m|o|m|u|r|a|
ד|י|ס|מ|ו|נ|ד|	d|e|s|m|o|n|d|
ד|ו|נ|ם|	d|u|n:a|m|
א:ו|פ|ר|	o|f:e|r|
ש|א|ג|א|ר|י|	s:h|a|g|a|r|i|
ס|א|ק|ר|	s|a|q|r|
ו|א|ר|ק|	w|a|r|k|
ק|י|ב|א|ק|י|	k|i|b|a|k|i|
א:ו|ל|י|מ|פ|י|א|ד|	o|l|y|m|p|i|a|d|
ס|א|נ|ט|א|מ|א|ר|י|א|	s|a|n|t|a|m|a|r|i|a|
ק|ן|	k|e:n|
ח|ד|ש|י|ט|י|	h:a|d|c:h|i|t|i|
ל|ו|ל|י|ט|א|	l|o|l|i|t|a|
א|ד|ל|ר|	a|d|l|e:r|
ב|ו|כ|נ|ר|	b|u|c:h|n|e:r|
נ|י|פ|ט|ו|ן|	n|e|p|t|u|n:e|
ד|ו:ט|ש|	d:e|u:t:s|c:h:e|
ק|י|ט|י|ס|א|ק|	k|i|t:t|i|s|a|k|
ד|י|ב|א|	d|e|b|b:a:h|
א|ל|ב|ר|ט|	e|l|b|e:r|t|
ב|א|י|ק|א|ל|	b|a|y|k|a|l|
ר|א|ז|א|נ|ו|	r|a|z:z|a|n|o|
ל|ב|	l|e:v|
ק|ו|ב|א:ט:ש|	k|o|v|a:c|
ר|ו|ז|נ|ב|א|ו|ם|	r|o|s:e|n|b|a|u|m|
מ|א|ש|י|ג|ו|	m|a|s:h|e|g|o|
ג:':ו|נ|י|י|ד|	j:u|n|a|y|d|
ל|ו|ק|ה|ד|	l|o|c:h|h:e|a:d|
ה|א|נ|ד|ל|ר|	h|a|n|d|l|e:r|
ז|ג|ל|ו|ל|	z:a|g:h|l|o:u|l|
א|ל|ח|מ|א|ד|י|	a|l|h:a|m|a|d|i|
ק|ו|א|נ|ז|א|	k|w|a|n|z:a|a|
ד|י|ס|א|	d|i|s:s|a|
ב|ר:א|ג|א|ן|	b:a|r:r:a|g|a|n|
ע|ס|א|ף|	a|s|a|f|
מ|ו|ר|י|ן|	m|o|r|i|n|
ס|י|ו|ר|א|ן|	c|i|o|r|a|n|
מ|ג|א|	m:e|g|a|
ס|ט|י|ל|י|ק|ה|	s|t|i|e:l|i|k|e|
י:ו|ס|ט|א|ס|	u|s|t|a|s:e|
ש|ר|י|ף|	s:h:a|r|i|f|
ט|י|ר|י|ז|א|	t|e|r|e|z|a|
ט|א|פ|ט|	t|a|f|t|
ה|ו|ל|ו|ד|ו|מ|ו|ר|	h|o|l|o|d|o|m|o|r|
י:ו|ל|י|ה|ר:א|ט:ש|	u|l|i|h|r|a:c:h|
מ|א|ר|ל|ב|ו:ר|ו|	m|a|r|l|b|o:r:o|u:g:h|
ג|ו|א|נ|ט|א|נ|א|מ|ו|	g|u|a|n|t|a|n|a|m|o|
א|ר|נ|ס|ט|	e|r|n:e|s|t|
ס|א|מ|פ|א|י|ו|	s|a|m|p|a|i|o|
פ|א|נ|ט|י|נ|י|	f|a|n|t|e|n|i|
ש|א|ק|ל|ט|ו|ן|	s:h|a|c:k|l:e|t|o|n|
ס|ט|י|ב|	s|t|e|v:e|
פ|ל|א|מ|י|ו|ן|	f|l|a|m|i|o|n|
א|נ|ט|ו|נ|י|ס|ק|ו|	a|n|t|o|n|e|s|c|u|
א:י|ר|י|נ|א|	i|r|i|n|a|
מ|ב|א|ב|א|ן|	m|b|a|b|a|n:e|
ר|א|פ|ו|פ|ו|ר|ט|	r|a|p|o|p|o|r|t|
ל|א|ק|ו|ר|	l|a|c|o:u|r|
ת|י|ס|י|ו|ס|	t:h|e|s|e|u|s|
ב|ר|א|ו|ן|	b|r|a|u|n|
ק|א|ר|ל|	k|a|r|l:e|
ת:מ|ר|	t:a:m|a:r|
מ|ו|ר|ד|ו|ק|	m|u|r|d|o|c:h|
ט|ו|ט|מ|א|	t|o|t|m|a|
ח|י|ל|ו|	h|i|l|u|
ה|א|י|א|ב|ו|ס|א|	h|a|y|a|b|u|s|a|
ש|ו|מ|ו|	s:h|o|m|u|
ח:ו|ס:י:י|ן|	h:u:s|s:a|i:n|
ו|א|ק:ס|מ|א|ן|	w|a|x|m|a|n|
ס|ו|ד|י|	s|o|d:d|y|
מ|א|ר|י|א|ס|	m|a|r|i|a|s|
ק|ו|נ|ס|ט|נ|ס|	c|o|n|s|t:a|n|s|
א|ר|ט|א|	a|r|t|a|
ח|י|ד|י:א|ט|ו|ל|י|ן|	k:h|i|d|i:y:a|t|u|l:l|i|n|
ו|ו|י|צ:ק|	w|o|j|c:i:k|
פ|ד|ר|ו|	p:e|d|r|o|
י:א|ן|	j:a:h|n|
פ|א|ר|ק|ס|	p|a|r|k|s|
פ|י|ו|ר|י|א|	p|e|o|r|i|a|
ק:ל|	k:o:l|
ק|ו|ד|י|צ:':י|נ|י|	c|u|d|i|c:i|n|i|
מ|ו|ס|ל|ם|	m|o|s|l:e|m|
ק|ו|ס|ו|מ|י|	k|u|s|u|m|i|
ט|י|ר|י|ז|א|	t|e|r|e|s|a|
ט|ר|י|ס|ט|ר|א|ם|	t|r|i|s|t|r|a|m|
ק|א|י|א|	k|a|i|a|
ש|ו|א|ר|m:מ|ן|	s:c:h|w|a|r|t:z:m|a:n|
פ|ו|י:ט|י|נ|ג|ר|	p:e|u|t|i|n|g|e:r|
א|מ|ב|ר|ו|ס|	a|m|b|r|o|s:e|
ס|י|ס|י|נ|ה|ו|	c|i|c|i|n|h|o|
מ|א|נ|ד|ו|ל|א|	m|a|n|d|o|l|a|
צ:'|י:נ|ג|י|	c|h:i:n|g|y|
ק|ו|ר|י|ו|ל|	c|o:u|r|i|o|l|
ר|י:ס|ב|י|ר|ג|ן|	r|i:j:s|b|e|r|g|e:n|
מ:ו|ס|	m:o:h|s|
ב|ח|ר|	b:a|h:a|r|
ר|ו|י|	r|o|y|
ר|ו|ס|ט|י|	r|o|s|t|i|
ק|ו|ר|ט|י|ס|	c|u|r|t|i|s:s|
ב|י|ר|ד|ז|ל|י|	b|e|a:r|d|s|l:e|y|
ג|ו|י|ן|	g|w|e|n|
ל|ו|ק|א|ר|י|ל|י|	l|u|c|a|r|e|l:l|i|
ו|י|ג|ו|ר|	u|y|g:h|u|r|
ב|ו|ר|י|ס|	b|o|r|i|s|
מ|י|נ|ג:י|	m|i|n|g:y:i|
ס|א:ו|ת|א|נ|ד|	s|o|u:t:h|e|n|d|
א:ו|ר|ל|ו|ב|	o|r|l|o|v|
פ|א|ם|	p|a|m|
ח|צ|ו|ר|	h:a|t:z|o|r|
ל|י|ז|א|	l|i|z|a|
י|ו|ק|ו|	y|o|k|o|
ק|ו|ר|ט|נ|י|	c|o:u|r|t|n:e|y|
ס|ט|ר|א|ד|י|ב|א|ר|י|ו|ס|	s|t|r|a|d|i|v|a|r|i|u|s|
ז|ק|י|	z:a|k|i|
ג|ל|י|ן|	g|l|y|n:n|
ד|א|מ:י|א:נ|ו|ב|י:ט:ש|	d|a|m|j:a:n|o|v|i:c|
ג|ל|י|ק|	g|l:e|i|c:k|
ס|י|נ|ד|י|	c|i|n|d|y|
א:ו|ל|מ|ר|ט|	o|l|m:e|r|t|
ב:ו|ד|י|ק|א|	b:o:u|d|i|c|a|
מ|י|כ|א|י|ל|	m|i|k:h|a|i|l|
פ|ל|ו|ר|נ|ס|	f|l|o|r:e|n|c:e|
מ|י|י|	m|e|y|
ק|ו|ם|	k|u|m:m|
ל|י|פ|מ|א|ן|	l|i|p|m|a|n:n|
א|ש|כ:נ|ז:י|	a|s:h|k:e:n|a:z:i|
ו|א|ס|י|ל|י|ס|	v|a|s|i|l|i|s|
ה|י|ר|ו|י|ו|ק|י|	h|i|r|o|y|u|k|i|
א|ל|י|ו|ט|	e|l:l|i|o|t|
ב|א|ר|י|ז|י|	b|a|r|e|s|i|
פ:י|ט:ש|י|נ|י|נ|ו|	p:i:c|c|i|n|i|n|o|
ק|ו|ס|ט|א|ק|ו|ר|ט|א|	c|o|s|t|a|c|u|r|t|a|
ק:י:י|ט|י|	k:a|t|i:e|
י|א|ס|י|ן|	y|a|s|i|n|
ב|ו|	b:a|u|
נ|י|ק|ו|ל|א|י|	n|i|c|o|l|a|i|
נ|ח:ש|ו|ן|	n:a:c|h:s:h|o|n|
ק|ו|ר|ו|ק|א|ו|א|	k|u|r|o|k|a|w|a|
א:י|ס|ק|י|ט|י|ם|	i|s|k|i|t|i|m|
ק|י|ר|ק|ה|ו|פ|ס|	k|e|r|c:k|h|o|f:f|s|
ט|ב|י|ר|	t|v|e|r|
פ|ר|א|נ|ט|י|ס|ק|	f|r|a|n|t|i|s:e|k|
ו|א|ד|ו|ז|	v|a|d|u|z|
ב|א|ק|י|ר|	b|a|q|i|r|
ק|י|ר|ז|ה|א|ק|ו|ב|	k|e|r|z|h|a|k|o|v|
מ|ו|ס|י|מ|י:ט:ש|	m|u|s|e|m|i:c|
ז|א|ק|	z|a|c|
מ|ו|ר|א|ב|צ:':י|ק|	m|o|r|a|v|c:i|k|
ט|א|ר|א|ב|ט|	t|a|a:r|a|b|t|
י|ע|ק|ו|ב|	y|a|c|o|b|
מ|א|ר|ק:י|ז|	m|a|r|q:u:e|z|
מ|י|ו|ק|י|	m|i|y:u|k|i|
ח|ל:ף|	k:h:a|l:a:f|
א|ל|י|ל|א|	a|l|e|l|a|
ה|י|ר|ו|ב|ו|מ|י|	h|i|r|o|b|u|m|i|
ק|ו|נ|ו|ס|ו|ק|ה|	k|o|n|o|s|u|k|e|
ק|י|ן|	k:e|e|n:e|
ס|י|ל|ב|ר|ס|ט|ו|ן|	s|i|l|v:e|r|s|t|o|n:e|
ה|א|פ|ל|	h|a|p:p|e:l|
ק|ו|נ|ס|ט|א|נ|ט|י|ן|	c|o|n|s|t|a|n|t|i|n|
א|ל|י|ס|ו|ן|	a|l:l|y|s|o|n|
ס|א|נ|ש:י|ז|	s|a|n|c:h:e|z|
א|ס|ט|י|	e|s|t|i|
נ|י|ק|ו|ל|א|י|	n|i|c|o|l|a|e|
ו|א|ד|י|ם|	v|a|d|i|m|
ל|א|נ|ד|ש:ט|א:י|נ|ר|	l|a|n|d|s:t:e|i|n|e:r|
ב|א:י|	b:u|y|
ד|ו:א|ד|א|	d|a:o:u|d|a|
מ|א|ס|א|י|א|	m|a|s|a|y|a|
ק|ר|י|ס|ט|י|	c:h|r|i|s|t|y|
ב|א|מ|י|ר|	b|a|m|i|r|
ב|ל|א|ג|ו|י|ה|	b|l|a|g|o|j|e|
ב|ל|א|ג|ו|י|ה|	b|l|a|g|o|j|a|
י|ו|נ|ס|	y|o:u|n:e|s|
י|ו|ש:י|ה|י|ר|ו|	y|o|s:h:i|h|i|r|o|
א|ר|א|ט|ו|	e|r|a|t|o|
ב|י|ל|י|	b|i|l:l|i:e|
צ:':א|נ|ל|	c:h|a:n|e:l|
נ|א|ר|י|	n|a|r:e|y|
נ|ה|ר|ו|	n:e|h|r|u|
ס|ו|מ|ר|ה|א|ל|ד|ר|	s|o|m:e|r|h|a|l|d|e:r|
ק|י|י|ז|ו|	k|e|i|z|o|
ב|י|ר|ג|י|ר:ו|	b|e|r|g|e|r:o:o|
ב|א|ר:ו|ן|	b|a|r:r:o|n|
ט|ו|ם|	t|o|m|
ל|א|ז|א|ר|ו|נ|י|	l|a|z|a|r|o|n|i|
ר|ד|א|	r:e|d|a|
ב|א|נ|ק|א|ר|י|ל|	b|a|n|c|a|r|e|l|
ש|ו:ב|ו|	c:h|a:u:v|e:a:u|
ג|ו|מ|ע|	g|o|m|a|
ד|ו|נ|א|ל|ד|	d|o|n|a|l|d|
מ|י|י|	m|a|y|
ח|ס|י|ן|	h|s|i|e:n|
ק|ו|ר|נ|ל|	k|o|r|n:e|l|
מ|א|ס|א|מ|א|ס|ו|	m|a|s:s|a|m|a|s:s|o|
ע|מ|ר|	a|m|r|
ו|י|ל|ו|י|ן|	w|e|l|w|y|n|
ס|י|י|א|ב|ו|נ|ג|א|	s|i|y|a|b|o|n|g|a|
ג|נ:א|ם|	g:h:a|n:n:a|m|
נ|ו|ר|י|ז|א|ן|	n|o|r|i|z|a|n|
מ|א|ק|י|נ:ו|ן|	m|a|c:k|i|n:n:o|n|
ו|י|ל|א|ר:י|א|ל|	v|i|l:l|a|r:r:e|a|l|
ב|נ|ג:':א|מ|י|ן|	b:e|n|j:a|m|i|n|
ה|א|ל|ו|נ|י|ן|	h|a|l|o|n|e|n|
ע|מ|ו|	a:m|m|o|
ג|ו|ר|א|נ|י|	g|o|r|a|n|i|
ל|י|א|ק|ו:ב|	l|i|a|k|h:o:v|
נ|ו|ר|ב|ר|ט|	n|o|r|b|e:r|t|
ד|ר|ו|מ:ו|נ|ד|	d|r|u|m:m:o|n|d|
א|נ|ז|ו|	e|n|z|o|
ל|י|א|ם|	l|i|a|m|
מ|ו|ט|ו|ק|ו|	m|o|t|o|k|o|
ט|ו|ר|ס|נ|ו|ב|	t|u|r|s:u|n|o|v|
ר|א|י|מ|ו|נ|ד|	r|a|y|m|o|n|d|
פ|ו|ל|א|ט|	p|o|l|a|t|
ה|א|ד|ז|י|ב|י|ג|י:ט:ש|	h|a|d|z|i|b|e|g|i:c|
ס|א|ט|י|א|ג:':י|ט|	s|a|t|y|a|j:i|t|
ר|ו|ב|י|נ|ס|ו|נ|ז|	r|o|b|i|n|s|o|n|s|
ב|י|ת|נ|ו|	b:e|i|t:e:i|n|u|
פ|ו|ל|ו|	p|o|l|o|
ג|ו|נ|ז|א|ל|ז|	g|o|n|z|a|l:e|z|
נ|י:ו|ק|ל:י|ט|א|	n|i|c|o:l:i|t|a|
נ|א|נ|ט|ס|	n|a|n|t:e|s|
מ|י|ק|ל|	m|i|k|e:l|
ז|ו|ב|י|ר|	z|o:u|b:e|i|r|
ת|א|ק|ס|י|ן|	t:h|a|k|s|i|n|
פ|י|ר|ס|י|פ|ו|נ|י|	p|e|r|s|e|p:h|o|n|e|
ק|ו|נ|ס|ט|א|ב|ל|	c|o|n|s|t|a|b|l:e|
י|ה|ל|ו|ם|	y:a|h:a|l|o|m|
ה|א|ר|י|א|נ|א|	h|a|r|y|a|n|a|
י|ו|ל|י|א|	y|u|l|i|a|
מ|א|ר|צ:'|י|נ|א|	m|a|r|c|h:e|n|a|
ט|א|ט|א|ר|ס|ט|א|ן|	t|a|t|a|r|s|t|a|n|
ג|ר|י|ז|ל|ו|ב|	g|r|y|z|l|o|v|
ד|ו|ר|ק|ה|י|י|ם|	d|u|r|k|h|e|i|m|
ה|א|י|נ|א|ן|	h|a|i|n|a|n|
מ|א|ר|ק|ס|	m|a|r|k|s|
ס|י|מ|ו|נ|ז|	s|i|m|o|n|s|
ה|א|ס|	h|a|s:s:e|
ק|ו|י|י|ד|	q|u|a|i|d|
ב|א|ס|ב|י|	b|u|s|b|y|
ג:':א|ס|י|ק|	j:a|c|e|k|
ר:י:י|צ:'|ל|	r:a|c:h:e|l|
א|ט|א|ט|ו|ר|ק|	a|t|a|t|u|r|k|
נ|א|כ|ב|א|ר|	n|a|c:h|b|a|r|
ר|ו|ב|י|נ|ס|ט|י|ן|	r|u|b|i|n|s|t:e|i|n|
ב|ר|א:ק|י|	b|r|a:c:c|i|
ה|ר|א|ל|	h:a|r|e|l|
ק|א|ר|ל|י|	c|a|r|l|y|
ק|א|נ|י|ט|ו|	k|a|n|e|t|o|
ו|י|מ|י:ט:ש|	v|e|m|i:c|
ט|ו|ר|ה|	t|o:u|r|e|
ל|י|	l:e|i:g:h|
ע|י|א|ש|	a|y|a|c:h:e|
א|ר|מ|י|ן|	a|r|m|i|n|
ד|ו|מ|י|ט|י|א|ן|	d|o|m|i|t|i|a|n|
ט|ו|ר|ו|ס|י|ד|י|ס|	t|o|r|o|s|i|d|i|s|
ו|י|ל|י|ג|א|ס|	v|i|l:l|e|g|a|s|
ג|ו|ל|ד|מ|א|ן|	g|o|l|d|m|a|n|
מ|ל|ב|י|ר|ג|	m:e|l:l|b|e|r|g|
ו|י|ס|י|י|ר|	v:e|i|s:s|i|e|r:e|
ר|ו|פ|א|ל|ו|	r|u|f:f|a|l|o|
נ|ו|ר|מ|א|נ|ד|י|	n|o|r|m|a|n|d|y|
ד|א|ג|ס|ט|א|ן|	d|a|g:e|s|t|a|n|
ג|ר|י|ל|פ|א|ר|צ:ר|	g|r|i|l:l|p|a|r|z:e:r|
פ|ר|א|נ|ק|י|	f|r|a|n|k|i:e|
מ|ק|י|מ|ס|ו|ן|	m|c:k|i|m|s|o|n|
ר|ב|י|ן|	r:a|b|i|n|
ת|י|מ|ב|נ|ק|ו|ס|י|	t:h|e|m|b:i|n|k|o|s|i|
ת:ל|מ|ו|ד|	t:a:l|m|u|d|
א:י|מ|א|ר|	e|m|a|r|
ג|ו|א|ד|י|א|נ|א|	g|u|a|d|i|a|n|a|
ד|ר|ק|ו|ב|י:ט:ש|	d|u:r|k|o|v|i:c|
ש|א|מ|ך|	s:h|a|m:e|k:h|
א|ל|י|ק:ס|י|י|	a|l|e|x|e|i|
ק|ו|ב|א|ר|	k|u|b|a|r|
מ|א|ר|ט|י|	m|a|r|t:t|i|
ג:':ו|ס|ט|א|י|ן|	j:o|s|t|e|i|n|
א:י:ב|ו|	i:v|o|
ה|א|ב|ר|ק|ו|ר|ן|	h|a|b|e:r|k|o|r|n|
ס|מ|א:י|ס|ר|	s|m|i|c:e|r|
א|ל|ו|נ|י|	a|l|o|n|i|
ג|ר|י|נ|ג|ר|א|ס|	g|r:e|e|n|g|r|a|s:s|
ג|א|ר|ד|ר|	g|a|a:r|d|e:r|
ב|ר|א|נ|ד|ל|	b|r|u|n|d|l:e|
ב|ר|ט|י|נ|י|	b|e:r|t|i|n|i|
ע|ב|ד|ו|ל|א|י|	a|b|d|o:u|l|a|y:e|
ה|א|ג|י|	h|a|g|i|
ק|א|ל|מ|א|ן|	k|a|l|m|a|n|
ע:ס|א|ם|	e:s:s|a|m|
ו|א|ל|ק|ו|ט|	w|a|l|c|o|t:t|
ז|ו:י:י|ל|	z:e|w:a|i:l|
פ|א|ד|י|ג|א|	f|a|d|i|g|a|
ה|י|ר|ש|פ|י|ל|ד|	h|i|r|s:c:h|f|e|l|d|
