ஆ கலே லாக் ஜா	aa gale lag ja
கேய்தா	keitha
கேகரே	kekare
கேல்கர்	kelkar
கெல்டன்	kelton
கெல்வின்	kelvin
கெல்வின்குரூவ் ஆர்ட் கேலரி அண்ட் மியூஸியம்	kelvingrove art gallery and museum
கெமிஜர்வி	kemijarvi
கென் ருதர்ஃப்போர்ட்	ken rutherford
கென் வாட்ஸ்வர்த்	ken wadsworth
கெனாதியா	kenadia
கென்ந்த்ரா	kendra
கெந்துர்கர்	kendurkar
கென்னத்	kenneth
கென்னத் ஸ்டார்	kenneth star
கென்னிஸ்	kennice
கென்னி பெஞ்சமின்	kenny benjamin
கெனோஷ பைபிள்	kenosha bible
கென்ட்	kent
கென்த்	kenth
கென்டக்கி	kentucky
கியோலாடியோ கானா	keoladeo ghana
கெபர்ட் யுனைட்டெட் மெதோடிஸ்ட்	kephart united methodist
கெப்லர் வெசல்ஸ்	kepler wessels
கெப்லர் வெஸ்ஸல்ஸ்	kepler wessels
கெபுலாவன் செரிபு	kepulauan seribu
கேரா	kera
கேரளா	keral
கெரின்சி செப்லாத்	kerinci seblat
கெர்ரி வால்ம்ஸ்லே	kerry walmsley
கெர்ஷா	kershaw
கேசவ	kesava
கேஷவ்தாஸ்	keshavdas
கேஷிஹான்	keshihan
கேஷிகா	keshika
கேஷினி	keshini
கேசோராம்	kesoram
கெஸ்ஸெல்	kessel
கேடாகி	ketaki
கெட்சம்	ketchum
கேவால்கிஷோர்	kevalkishore
கேவால்குமார்	kevalkumar
கெவின் ஆர்னாட்	kevin arnott
கெவின் காஸ்ட்னர்	kevin costner
கெவின் டுயர்ஸ்	kevin duers
கெவின் ஸ்பேசி	kevin spacey
கெவினா	kevina
கீ டவர்	key tower
கடக்வஸ்லா	khadakwasla
கதில்கர்	khadilkar
காஹிரா	khahira
காக்	khakh
காலாஃப்	khalaf
கால்டா	khalda
கால்துன்	khaldun
காலெத் மாஹ்முத்	khaled mahmud
காலீத்	khaleed
காலிஸ்	khalis
காலாத்	khallad
காமோஷ் சிபாஹி	khamosh sipahi
காமோஷி	khamoshi
காந்தானி	khandani
கந்தேஷ்	khandesh
கன்டுஜா	khanduja
கண்ணா	khanna
கன்வில்கர்	khanvilkar
கர கோதா	khara khota
காராத்	kharad
கார்கா	kharga
கர்தவும்	khartoum
காஸ்கிவாலே	khasgiwale
கதவ்கர்	khatavkar
காட்காட்கலா	khatkadkala
காதூன்	khatoon
கத்தா மீத்தா	khatta meetha
காட்கர்	khattkar
கௌஃப்ன்க் ஆங்கேன்	khaufnak aankhen
கஸானா	khazana
கஸான்ச்சி	khazanchi
கேல் கிலாடி கா	khel khiladi ka
கெம்பிரகாஷ்	khemprakash
கெரா	khera
கித்கி	khidki
கிம்சார்	khimsar
கிராஷ்	khirash
கிரி	khiri
கூன் அவுர் சாஸா	khoon aur sazaa
கூன் கராபா	khoon kharaba
கூன் கி கீமத்	khoon ki keemat
கூன் கி புகார்	khoon ki pukar
கூன் கி டக்கர்	khoon ki takkar
கூனி கவுன்	khooni kaun
கோஷா	khosha
கோத்	khot
கோட்டெ சிக்கே	khote sikkey
கௌம்ஸ்	khoums
குப்கோன்கர்	khubgaonkar
குதா காஸம்	khuda kasam
குதாய் கித்மாட்கர்	khudai khidmatgar
குத்ரா	khudrah
குஃப்பியா மஹால்	khufia mahal
குலி கிட்கி	khuli khidki
குலுத்	khulud
குங்ரா	khungra
குரானா	khurana
குஷ் நஸீப்	khush naseeb
குஷ் ராஹோ	khush raho
குஷால்	khushal
குஷ்பு	khushboo
க்வாஜா மிர் தார்த்	khwaja mir dard
கியாத்தி	khyati
கியானா	kiana
கியாந்திரா	kiandra
கியாரா	kiara
கைஃபர்	kiefer
கியேவ்	kiev
கிஃபாயாத்	kifayat
கிகலி	kigali
கிலே	kiley
கிம் ஹக்ஸ்	kim hughes
கிமாயா	kimaya
கிம்பர்	kimber
கினா	kina
கைனடிக்	kinetic
கைனட்டிக்	kinetic
கிங் எட்வர்ட் vii	king edward vii
கிங் ஃபைசல் ஃபவுண்டேஷன் ப்ரைஸ்	king faisal foundation prize
கிங் ஹுசேன்	king hussein
கிங் ஆஃப் கார்னிவல்	king of carnival
கின்ஷுக்	kinshuk
கிரண்மை	kiranmay
கிராயெதார்	kirayedar
கிர்பி அவார்ட்ஸ்	kirby awards
கிரில்	kiril
கிரின் ப்ரூவேரி கம்பெனி	kirin brewery company
கிரித்	kirit
கிர்கான்	kirkan
கிர்லோஸ்கர்	kirloskar
கிர்லோஸ்கர் ப்ரதர்ஸ்	kirloskar bros
கிர்லோஸ்கர் ஃபெர்ரோ	kirloskar ferro
கேர்ஸ்டென்	kirsten
கிர்த்தி	kirti
கிஸ் லியே	kis liye
கிஸான் அவுர் பாக்வான்	kisan aur bhagwan
கிஷென் கன்ஹையா	kishen kanhaiya
கிஷோர்	kishore
கிஷோரி	kishori
கிஸி கியாத்	kisi kiyaad
கிஸ்கி பிவி	kiski biwi
கிஸ்மத்	kismat
கிஸ்மத் கா சிதாரா	kismat ka sitara
கிஸ்மத் வாலா	kismat wala
கிஸ்மத்வாலி	kismatwali
கிஸ்ஸா குர்ஸி கா	kissa kursi ka
கித்னா பாதல் காயா இன்சான்	kitna badal gaya insan
கித்னெ பாஸ் கித்னெ தூர்	kitne paas kitne door
கிட்ஸன்	kittson
கிட்டி	kitty
கிட்டி துகாகிஸ்	kitty dukakis
கியேத்	kiyedh
க்லங் கேட்ஸ்	klang gates
கிளாரிகா	klarika
கேமார்ட் ஹோல்டிங்	kmart holding
நாக்ஸ்	knox
நோக்ஸ்	knox
கோக் ஹோல்டிங்	koc holding
கோச் இண்டஸ்டிரீஸ்	koch industries
கோச்சாத்	kochhad
கோச்சார்	kochhar
கோடகனர் ரிசர்வாயர்	kodaganar reservoir
கோட்கு	kodgu
கொஹ்ரா	kohra
கொய் குலாம் நாஹின்	koi ghulam nahin
கொக்ராஜ்ஹர்	kokrajhar
கோக்ரி	kokri
கொல்ஹாபூர்	kolhapur
கொல்ஹத்கர்	kolhatkar
கோலினா	kolina
கொல்கத்தா	kolkata
கொல்தேகர்	kolthekar
கோமலா	komala
கோமட்சு	komatsu
கொமோடோ சுலாவேசி	komodo sulawesi
கோனிக் ஆல்பர்ட்	konig albert
கொன்கர்	konkar
கூனெர்	kooner
கோபர்கோன்கர்	kopargaonkar
கோபர்கர்	koparkar
கோப்ரான்	kopran
கோரனே	koranne
கோரி	kori
கொரோ	koro
கோருனா	koruna
கோஷிஷ்	koshish
கோஸி	kosi
கொஸூத் ப்ரைஸ்	kossuth prize
கோட்டா	kota
கோதுல்கர்	kothulkar
கோட்லா	kotla
கோத்னிஸ்	kotnis
கோட்டயம்	kottayam
கோத்வால்	kotwal
கோச்சிபவுகாக்	kouchibouguac
கொய்னா	koyna
கிருஷான்	krashn
க்ராஷ்னாபிங்காக்ஷான்	krashnapingaakshan
கிராட்ஸ்	kratz
க்ரெப்ஸ் பயோகெம்	krebs biochem
க்ரிகோர்	krikor
கிரிஸ் ஸ்ரிகான்த்	kris srikkanth
கிருஷ்ண ஜி	krishna ji
கிருஷ்ண ராஜா சாகர் டேம்	krishna raja sagar dam
கிருஷ்ணா சுதாமா	krishna sudaama
கிருஷ்னதேவா	krishnadeva
கிருஷ்னாகாலி	krishnakali
கிருஷ்னகுமார்	krishnakumar
கிரிஸ்டி	kristine
குரோத்	krodh
குரோதி	krodhi
க்ரோணா	krona
க்ரோன்	krone
கிரான்பிரின்ஸ் வில்ஹெம்	kronprinz wilhelm
க்ரூகர்	kruger
கற்பக விநாயகர்	krupka vinayekaar
ஷானிகா	kshanika
குபராசின்ஹ்	kuberasinh
குச்சிப்புடி	kuchipudi
குத்ராத்	kudrat
குத்ராத் கா கானூன்	kudrat ka kanoon
குட்ரிமுக்	kudremukh
குஃப்ரா	kufra
குஹாத்	kuhad
குஹாதா	kuhada
குக்காத்	kukkad
குலாசி ஹன்ஸ்ராஜ் மாடல் ஸ்கூல்	kulachi hansraj model school
குல்பூஷன்	kulbhushan
குல்தீப் நையார்	kuldeep naiyar
குல்தீப்	kuldeepak
குல்கர்னி	kulkarni
குளு	kullu
குல்லுர்சந்தை ரிசர்வாயர்	kullursandai reservoir
குல்வாது	kulvadhu
குமானோ மாரு	kumano maru
குமார்	kumar
குமாரி	kumari
கும்மி	kummi
குமுதம்	kumudam
குமுதினி	kumudini
குனால்	kunal
குன்டனிகா	kundanika
குஞ்சலாதா	kunjalata
குஞ்சர் புத்ரீ	kunjar putree
குன்டா	kuntaa
குன்டல்	kuntal
குன்ட்டி	kuntee
குன்ட்டி	kunti
குப்வாதா	kupwada
குர்தே	kurde
குரே பீச் ஃபர்ஸ்ட் பேப்டிஸ்ட்	kure beach first baptist
குர்னூல்	kurnul
கர்ட் வில்கின்சன்	kurt wilkinson
குஷால்	kushal
குஸ்துப்	kustubh
குசுமாவதி	kusumavati
குட்டெ கி கஹானி	kutte ki kahani
குவாலேஷே	kuvaleshay
க்வாச்சா	kwacha
கைலா	kyla
கைலைக்	kyleigh
கைலியா	kylia
கைனா	kyna
கைன்	kyne
கின்த்யா	kynthia
கைரோஸ்	kyros
கியூஷு	kyushu
க்யூஷூ எலக்டிரிக் பவர்	kyushu electric power
கைஸில்-கும்	kyzyl-kum
லா கிலோய்ரெ	la gloire
லா மார்ட்டினியர் காலேஜ்	la martiniere college
லா போர்டெ	la porte
லா சேல்	la salle
லா ட்ரோப் யூனிவர்சிட்டி	la trobe university
லா	laa
லாக்ஷா	laakshaa
லாலகமல்	laalakamal
லாலஸா	laalasaa
லாஸ்யா	laasya
லபன்கலாதா	labangalata
லபோனி	laboni
லாப்ரடார்	labrador
லாசக்	lachak
லாக் வலேசா	lack walesa
லாக்ரோஸ்	lacrosse
லசி	lacy
லாடாகு	ladaaku
லேடீஸ் டெய்லர்	ladies tailor
லாட்கெ பாப் செ பாத் கெ	ladke baap se badh ke
லாட்கி	ladki
லாட்கி ஜாவான் ஹோ காய்	ladki jawan ho gai
லாட்கி சாஹ்யாத்ரி கி	ladki sahyadri ki
லாத்வா	ladwa
லகான்	lagan
லகாவோ டோ பிக்ஸி	lagoa do peixe
லாகிரான்ஜெ	lagrange
லகுனாஸ் டீ சாச்சாசுவா லகுனாஸ் டீ மாண்டேபெல்லோ	lagunas de chacachua lagunas de montebello
லஹக்	lahak
லஹெரி லாலா	laheri lala
லாஹூ கே டோ ராங்	lahu ke do rang
லைலா மஜ்னு	laila majnu
லைனே	lainey
லைக்	laiq
லய்கா	laiqah
லயிர்ட்	laird
லைத்	laith
லாஜாவாப்	lajawab
லஜ்ஜா	lajja
லஜ்வந்தி	lajwanti
லாஜ்வான்தி	lajwanti
லக்தே	lakde
லேக் டிஸ்ட்ரிக்ட்	lake district
லேக் மலாவி	lake malawi
லேக் மிபூரோ	lake mburo
லேக் நகூரு	lake nakuru
லேக் ஸ்டிரீட் சர்ச் ஆப் இவன்ஸ்டன்	lake street church of evanston
லக்கிம்பூர்	lakhimpur
லக்கத்	lakkad
லாக்கெவாலி	lakkhewali
லக்ஷா	laksha
லக்‌ஷதீப்	lakshadweep
லக்ஷ்மி	lakshmi
லக்‌ஷ்மி மெஷின்	lakshmi machine
லக்ஷ்மிபந்தா	lakshmibanta
லக்ஷ்மிதர்	lakshmidhar
லக்ஷ்மிபதி பாலாஜி	lakshmipathy balaji
லால் பாங்லா	lal bangla
லால் பாட்டி	lal batti
லால் சிட்தி	lal chitthi
லால் துப்பட்டா	lal dupatta
லால் கோதி	lal kothi
லால் பாத்தர்	lal patthar
லாலா	lala
லலாத்	lalaat
லாலாத்	lalaat
லலயின்	lalaine
லலிமா	lalima
லலித்	lalit
லலிதா	lalita
லலிதமானா ஃபெர்னாண்டோ	lalithamana fernando
லலித்மோகன்	lalitmohan
லமர்	lamar
லாமார்	lamar
லாம்ப்	lamb
லம்பாடா	lambada
லம்பெத் வாக்	lambeth walk
லம்யா	lamya
லான்காஸ்டர்	lancaster
லான்ஸ் க்ளூஸ்னர்	lance klusener
லான்செர்ஸ்	lancers
லான்டெர்	lander
லேண்ட்கார்ட் ஃப்போர்ட்	landguard fort
லன்கம் பிளேஸ் ஆஃபிஸ் டவர்	langham place office tower
லாங்லே	langley
லாங்ஸ்டோன் ரீடவுட்	langstone redoubt
லானியர்	lanier
லங்கேஷ்	lankesh
லங்கேஷ்வர்	lankeshvar
லங்ஸ்டன்	lankston
லான்அப்டிக்ஸ்	lanoptics
லான்டின்	lantin
லான்ஸாரோதே	lanzarote
லபாவாஹ்	laparwah
லாப்பீன்ரான்டா	lappeenranta
லகித்	laqeet
லாராமி	laramie
லர்ச்மோண்ட் அவென்யு	larchmont avenue
லரிஸ்ஸா	larissa
லாரி	larry
லேரி கோம்ஸ்	larry gomes
லதாபர்ன்	lataaparn
லத்ரோப்	lathrop
லதிஃபா	latifah
லதிகா	latika
லத்தூர்	latur
லவுட்	laud
லாடெர்டேல்	lauderdale
லாரல்	laurel
லாரன்	lauren
லாரன்ஸ் ஆலிவர் அவார்ட்ஸ்	laurence olivier awards
லாரன்ட்	laurent
லாரஸ் வோர்ல்ட் ஸ்போர்ட்ஸ் அவார்ட்ஸ்	laureus world sports awards
லாவ்வெர்ஷூயிக்	lauwershoek
லாவ் குஷ்	lav kush
லவெர்ன்	laverne
லவினா	lavina
லவாதே	lawaate
லவாண்டா	lawanda
லக்ஷ்மன் சிவராமாகிருஷ்ணன்	laxman sivaramakrishnan
லக்ஷ்மி நாராயன்	laxmi narayan
லாயர்	layar
லய்யா	layyah
லாஸர்	lazar
லியான்	leane
லீன்	leann
லியன்	leanne
லெபனான்	lebanon
லெசியா	lecea
லேடா	leda
லீ ஜெர்மன்	lee germon
லீட்ஸ் பிராட்போர்ட்	leeds bradford
லீலா	leelaa
லீலாமயி	leelamayee
லீனா	leena
லீ யு மன் ஃப்போர்ட்	lei yue mun fort
லெல்	lel
லேலே	lele
லினாவீ	lenawee
லென்ஸி	lenci
லென்காய்ஸ் மாரன்ஹென்சஸ்	lencois maranhenses
லியோ டால்ஸ்டாய்	leo tolstoy
லியான்	leon
லியோன்	leon
லியோனா	leona
லியோனார்ட்	leonard
லியோனார்ட் நிமோய்	leonard nimoy
லியோனார்டோ	leonardo
லியோனார்டோ டி காப்ரியோ	leonardo di caprio
லியோன்டின்	leontyne
லியோபோல்ட்	leopold
லெபான்டோ	lepanto
லெஸ்	les
லெஸ்லி	lesley
லெதியா	lethia
லெதிதியா	letitia
லியூஸுர்	leuseur
லெவனா	levana
லேவர் பர்டன்	levar burton
லெவெரெட்	leverett
லிவிஸ்	lewis
லீவிஸ்	lewis
லூயிஸ் ஃபாராகான்	lewis farrakhan
லெக்ஸி	lexi
லெக்ஸின்	lexine
லியம் நீசன்	liam neeson
லியம் பிளன்கெட்	liam plunkett
லிபரேஸ்	liberace
லிபெர்டெ	liberte
லைப்ரரி ஆஃப் காங்கிரஸ் லிவிங் லெஜண்ட்	library of congress living legend
லிப்ரேவில்லே	libreville
லிசியா	licia
லியெர்	lierre
லையர்ஸ்	liers
லையஸெலெ	liezele
லைட் ஹவுஸ்	light house
லிஹிர் கோல்டு, லிமிடெட்	lihir gold, limited
லிலக்	lilac
லிலிகா	lilika
லில்கா	lilka
லில்லி	lilli
லிலியன்	lillian
லிமாயே	limaye
லிமஸா	limazah
லின்	lin
லிங்கன்	lincoln
லிண்டா எவான்ஸ்	linda evans
லிண்டா ரோன்ஸ்டாத்	linda ronstadt
லிண்டா ட்ரிப்	linda trip
லின்டி ஹாப்	lindy hop
லின்கனமக்கி டேம்	linganamakki dam
லினோர்	linore
லியோனெல்	lionel
லிசா மேரி ப்ரிஸ்லி ஜாக்சன்	lisa marie presley jackson
லிஸ்பன் போர்டெலா	lisbon portela
லிசட்	lisette
லிடான்	litan
லிட்டல் ஃப்போர்ட்	little fort
லிட்டில் ரிச்சர்ட்	little richard
லிட்டோரியோ	littorio
லிவர்பூல் ஜான் மூர்ஸ் யூனிவர்சிட்டி	liverpool john moores university
லிவெட்	livett
லிவிங்ஸ்டன்	livingston
லிவ்வி	livvy
லியாகத்	liyaakat
லாய்ட் ப்ரிட்ஜஸ்	lloyd bridges
லாய்ட்ஸ் ஸ்டீல்	lloyds steel
லோச்சன்	lochan
லாக்கரிட்ஜ்	lockeridge
லாக்கெட்	locket
லாக் க்யா காஹெங்கே	log kya kahenge
லாகிடெக் இன்டர்நெஷனல்	logitech international
லாஹ்காத்	lohgad
லோஹோ	lohou
லோஜ்கி	lojki
லோகதிப்	lokaadhip
லோகதி	lokadi
லோகமான்ய	lokamaan_y
லோக்பால்	lokapaal
லோகயன்	lokayan
லோலா	lola
லம்பார்ட் கிறிஸ்டியன் ரிபார்ம்ட்	lombard christian reformed
லோம்	lome
லொமோனோசோவ் கோல்ட் மெடல்	lomonosov gold medal
லோனா	lona
லோன்தே	londhe
லண்டன் சிட்டி	london city
லண்டன் காட்விக்	london gatwick
லண்டன் லூடன்	london luton
லண்டன் மெட்ரோபாலிட்டன் யூனிவர்சிட்டி	london metropolitan university
லோரிலி	lorelei
லோரினா	lorena
லோரி	lori
லோரிமர்	lorimer
லோர்னா	lorna
லோர்ன்	lorne
லோரெட்டா	lorretta
லோரியல்	loréal
லோட்டே	lotte
லுவானா	louanna
லுயி	louie
லூயிஸ் ஆம்ஸ்ட்ராங்	louis armstrong
லூயிஸ் ஃபிஷர்	louis fisher
லுயிஸ்	louise
லூர்த்ஸ்	lourdes
லவ்	love
லவ் அண்ட் மர்டர்	love and murder
லவ் இன் சிம்லா	love in simla
லவ் மேரேஜ்	love marriage
லோவெட்டே	lovette
லோவி	lovey
லோவி	lovie
லோயர் நிரர் ரிசர்வாயர்	lower nirar reservoir
லு லுவா	lu luah
லுவன்னா	luana
லுவான்டா	luanda
லுபாப	lubabah
லுபானா	lubana
லுகாஸ்	lucas
லூக்காஸ்	lucas
லுசியா	lucia
லூசியாநொ பவாரோட்டி	luciano pavarotti
லுசி	lucie
லுசிலி	lucille
லுக்கெட்	luckett
லக்கி நம்பர்ஸ்	lucky number
லுசி	lucy
லூதியானா	ludhiana
லுத்விக்	ludwig
லுட்விக் பீத்தோவன்	ludwig beethoven
ல்யூக்	luge
லுகாஸ்	lukas
லுக்	luke
லுக்துகே	luktuke
லம்ப்ஸ் ஃப்போர்ட்	lumps fort
லுங்லே	lunglei
லுக்மன்	luqman
லுத்	lut
லுதாவூ	lutaaoo
லுடேரா	lutera
லுடேரா அவுர் ஜாதுகர்	lutera aur jadugar
லுடெஷியம்	lutetium
லுத்ஃபி	lutfi
லூட்டன்	luton
லக்சம்பர்க்	luxembourg
லக்சர்	luxor
லுஸெர்னெ	luzerne
லைக்னாஸ்டைடிஸ் ஓபன்-ஏர் மியூஸியம்	lychnostatis open-air museum
லின்	lyn
லினெட்	lynette
லிசாண்ட்ரா	lysandra
மா அஸ்-சமா	ma as-sama
மா ஃபோய்	ma foi
மா	maa
மா பாஹென் அவுர் பீவி	maa bahen aur biwi
மா கா அன்சல்	maa ka anchal
மா கா பியார்	maa ka pyar
மா காஸம்	maa kasam
மா காஸம் பாட்லா லூங்கா	maa kasam badla loonga
மா கி செளகந்த்	maa ki saugandh
மாதுரீ	maadhuree
மாகல்கர்	maakhalkar
மான்	maan
மானகலால்	maanakalaal
மானஸீ	maanasee
மார் தாத்	maar dhaad
மாட்டி பாலிதன் கி	maati balidan ki
மாட்டி மாங்கெ கூன்	maati maange khoon
மாட்டி மானாஸ்	maati manas
மாயாராம்	maayaaraam
மாப்	mab
மாபெல்	mabel
மேக்	mac
மெக்டோனல்	mac donnell
மகாரியா	macaria
மாக்சீடோனியன் மியூஸியம் ஆஃப் கான்டெம்போரரி ஆர்ட் ஆஃப் தெஸ்ஸாலோனிகி	macedonian museum of contemporary art of thessaloniki
மாச்ஹால்	machhal
மெக்கன்ஸி	mackenzie
மெக்கின்ஸி	mackenzie
மெக்கென்ஸி	mackenzie
மாக்கினாக்	mackinac
மேகான்	macon
மாட் பரே நய்ன்	mad bhare nain
மேடம் ஸாபாட்டா	madam zapatta
மதன்	madan
மடன் மஞ்ஜாரி	madan manjari
மதனபால்	madanapaal
மதன்கோபால்	madangopal
மேட்டாக்	maddock
மாதேய்ரா	madeira
மேடலீன்	madeleine
மேடலியா	madelia
மாதேஷ்	madesh
மாட்கி	madge
மாதவ்தாஸ்	madhavdas
மாதவி	madhavi
மாதோஷ்	madhosh
மாது பன்சாரி	madhu bansari
மதுசந்தா	madhuchanda
மதுக்	madhuk
மதுக்கர்	madhukar
மதுமான்	madhumaan
மதுமலாதி	madhumalati
மதுமதி	madhumati
மதுமிதா	madhumita
மதுனிஷா	madhunisha
மதுப்	madhup
மதுசுதன்	madhusudan
மதுசுதன்	madhusudhan
மதிஹா	madihah
மதினெ கி காலியான்	madine ki galiyan
மாடிசன்	madison
மேடிசன்	madison
மாட்லியேனா டவர் ஃப்போர்ட்	madliena tower fort
மத்ரா	madra
மெட்ராஸ்	madras
மட்ரிட்	madrid
மத்ரிட்	madrid
மாட்ரிட்	madrid
மாட்ரிட்	madrid
மாட்ரிட் பாராஜாஸ்	madrid barajas
மதுரா கர்மெண்ட்ஸ்	madura garments
மதுரை	madurai
மாயீ	mae
மேகன்	maegan
மாஃப்பிஸுர் ரஹ்மான்	mafizur rahman
மகன்	magan
மகர்	magar
மேக்டா	magda
மெஜந்தா	magenta
மேஜிக் ஜான்சன்	magic johnson
மாக்னானிம்	magnanime
மக்னர்	magnar
மேக்னார்	magnar
மாக்னிஃப்பீசெண்ட்	magnificent
மாகோஃப்பின்	magoffin
மக்ரூர்	magroor
மஹிந்த்ரா சீம்லெஸ்	mah seamless
மஹா சோர்	maha chor
மஹா சங்கிரம்	maha sangram
மஹா சதி மேய்னா சுந்தரி	maha sati maina sundari
மஹா ஷக்திமான்	maha shaktimaan
மஹாபாலி	mahaabalee
மஹாபூதி	mahaabodhi
மஹாசாரி	mahaachaary
மஹாக்ஷ்	mahaaksh
மஹாமந்த்ரி	mahaamantree
மஹான்	mahaan
மஹாராஜா	mahaaraajaa
மஹாராஜாசிங்	mahaaraajasinh
மஹாதிக்த்	mahaatikt
மஹாவத்	mahaavat
மஹாபல்	mahabal
மஹாபாலா	mahabala
மஹாதேவ் வர்மா	mahadev verma
மகாகணபதி	mahaganapati
மஹாஜன்	mahajan
மஹக்	mahak
மஹாகலேஷ்வர் ஜோதிர்லிங்க	mahakaleshwar jyotirlinga
மஹாகுதா	mahakutta
மகாலக்ஷ்மி	mahalaxmi
மகாலக்‌ஷ்மி	mahalaxmi
மஹாலக்ஷ்மி	mahalaxmi
மஹாலக்‌ஷ்மி	mahalaxmi
மஹாலியா	mahalia
மஹாமாயா	mahamaya
மஹாநதி	mahanadi
மஹாநகர் கேஸ்	mahanagar gas
மஹாராஜா விக்ரம்	maharaja vikram
மஹாரானி ஜான்ஸி	maharani jhansi
மஹாராஷ்ட்ரா	maharashtra
மஹாரதி கர்னா	maharathi karna
மஹர்ஷி	maharshi
மஹார்ஷி	maharshi
மஹாஸதி துல்சி	mahasati tulsi
மஹாஸ்வேதா	mahasweta
மஹாத்மா காந்தி	mahatma gandhi
மஹாவீர் ஸ்கூல்	mahaveer school
மஹாவீரா	mahavira
மஹேந்திராகர்ஹ்	mahendragarh
மஹேஸ் கூணதிலகே	mahes goonatilleke
மஹேஷிந்தர்	maheshinder
மாஹியா	mahia
மஹிஜுபா	mahijuba
மஹிந்த்ரா அண்ட் மஹிந்த்ரா	mahindra and mahindra
மஹிந்த்ரா கெஸ்கோ டெவலப்பர்ஸ்	mahindra gesco developers
மஹிந்த்ரா யுனைடெட் வோர்ல்ட் காலேஜ் ஆஃப் இண்டியா	mahindra united world college of india
மஹிரா	mahira
மஹ்மூத் ஹமீத்	mahmood hamid
மாஹ்முத் ஷாபிஸ்தாரி	mahmud shabistari
மஹூபா	mahoba
மஹோபா	mahoba
மஹோகனி	mahogany
மஹோமெத் காயெஸ்	mahommed ghaus
மஹோத்ஸா	mahotsaah
மஹ்ராஜ்கன்ஞ்	mahrajganj
மஹும்	mahum
மேடா	maida
மைக்	maik
மயிலி	maili
மேன் அவுர் மேரா பாய்	main aur mera bhai
மேன் அவாரா ஹூன்	main awara hoon
மேன் சுப் ரஹூங்கி	main chup rahungi
மேன் ஷாதி கார்னே சாலா	main shadi karne chala
மேன் சுஹாகான் ஹூன்	main suhagan hoon
மைனா	maina
மேய்ன்	maine
மேனெ ஜீனா சீக் லியா	maine jeena seekh liya
மெயின்பூரி	mainpuri
மேரி	maire
மேரியட்	mairead
மைத்ரி	maitree
மைத்ரேயி	maitreyi
மைஸேரெட்	maizeret
மாஜால்	majaal
மஜாரூஹ்	majarooh
மஜ்பூர்	majboor
மாஜ்த்	majd
மாஜ்தி	majdi
மேஜர் லீக் லக்ரோஸ் அஃபன்சிவ் ப்ளேயர் ஆஃப் தி இயர் அவார்ட்	major league lacrosse offensive player of the year award
மேஜர் லீக் லக்ரோஸ் ரூக்கி ஆஃப் தி இயர் அவார்ட்	major league lacrosse rookie of the year award
மகைலா	makaila
மாகான்	makan
மகாசூத்	makasood
மகேலா	makayla
மகாயா நிடினி	makhaya ntini
மாக்தூம் யாஹ்யா மனெரி	makhdoom yahya maneri
மாகிஜா	makhija
மக்கார்	makkaar
மக்கி	makki
மாலா	mala
மலாகா	malaga
மாலை மலர்	malai malar
மாலக்	malak
மாலாமால்	malamaal
மலம்கர்	malamkar
மலங்	malang
மாலாஸ்ரீ	malashree
மலையாளம்	malayalam
மலேஷியா	malaysia
மால்கம்	malcolm
மால்டீவ்ஸ்	maldives
மல்ஹான்	malhan
மலிஹ்	malih
மாலிஹ்	malih
மலிக்	malik
மாலிக்	malik
மலிகா சலோமி	malika salomi
மலிஞ்ச்	malinche
மலிங்கா பண்டாரா	malinga bandara
மாலினி	malini
மேலிஸ்	malise
மல்கன்கிரி	malkangiri
மால் ரோட்	mall road
மல்லிகா	mallika
மாலோன்னெ	malonne
மால்டா	malta
மால்ட்டா	malta
மால்டெஸ்ஸே	maltese
மலுகா	maluka
மால்வா	malwa
மாமாஜி	mamaji
மாம்போ	mambo
மம்தூ	mamduh
மம்தா கி சாவுன் மேன்	mamta ki chhaon mein
மன் கி ஜீத்	man ki jeet
மனாக்ஷூ	manaakshu
மானேஜர்	manager
மனாஸ்வி	manali
மனாமோஹக்	manamohak
மனாஸா	manasa
மானாஸா	manasa
மனாஸிஜா	manasijaa
மானவ்	manav
மான்செஸ்டர்	manchester
மேன்செஸ்டர் மெட்ரோபாலிட்டன் யூனிவர்சிட்டி	manchester metropolitan university
மந்தா	manda
மண்டக்ரந்தா	mandakranta
மன்டபே	mandape
மந்தரா	mandara
மண்டே	mande
மன்திர்	mandir
மான்டு	mandu
மேண்டி	mandy
மேண்டி யச்சாத்	mandy yachad
மன்டியா	mandya
மனீஷா	maneeshaa
மங்கல் பான்டே	mangal pandey
மங்கலா	mangala
மங்களா	mangala
மங்கலகிரி	mangalagiri
மங்களூர் கெம்	mangalore chem
மங்கத்	mangat
மங்கேஷ்	mangesh
மங்கேஷ்கர்	mangeshkar
மங்கல கௌரி	mangla gauri
மங்கு	mangu
மங்கு தாதா	mangu dada
மாணிக்	manik
மணிகுண்டலா	manikuntala
மணிமுக்தாநதி ரிசர்வாயர்	manimukthanadhi reservoir
மணிமுத்தாறு ரிசர்வாயர்	manimuthar reservoir
மனிந்தர்	maninder
மனிப்பூர் டுடே	manipur today
மணிபூரி	manipuri
மணிப்பூரி	manipuri
மனீஷ்	manish
மஞ்சரீக்	manjareek
மஞ்சீர்	manjeer
மன்ஜியாவாலி	manjiawali
மஞ்சூஷா	manjooshaa
மஞ்சு கபூர்	manju kapoor
மஞ்சுளா முனசிங்கே	manjula munasinghe
